"","X","label","type","title","author","journal","abstract","year","doi","volume","language","issue","url","keywords","pages","notes","matches"
"41",42,"Rovero_2020_O.tjotFPS","JOUR","Co-occurrence of snow leopard panthera uncia, siberian ibex capra sibirica and livestock: Potential relationships and effects","Rovero, F. and Augugliaro, C. and Havmoller, R.W. and Groff, C. and Zimmermann, F. and Oberosler, V. and Tenan, S.","Oryx : the journal of the Fauna Preservation Society","Understanding the impact of livestock on native wildlife is of increasing conservation relevance. For the Vulnerable snow leopard Panthera uncia, wild prey reduction, intensifying human-wildlife conflicts and retaliatory killings are severe threats potentially exacerbated by the presence of livestock. Elucidating patterns of co-occurrence of snow leopards, wild ungulate prey, and livestock, can be used to assess the compatibility of pastoralism with conservation. We used camera trapping to study the interactions of livestock, Siberian ibex Capra sibirica and snow leopards in a national park in the Altai mountains, Mongolia. We obtained 494 detections of wild mammals and 912 of domestic ungulates, dogs and humans. Snow leopards and Siberian ibex were recorded 14 and 33 times, respectively. Co-occurrence modelling showed that livestock had a higher estimated occupancy (0.65) than ibex, whose occupancy was lower in the presence of livestock (0.11) than in its absence (0.34-0.35 depending on scenarios modelled). Snow leopard occupancy did not appear to be affected by the presence of livestock or ibex but the robustness of such inference was limited by uncertainty around the estimates. Although our sampling at presumed snow leopard passing sites may have led to fewer ibex detections, results indicate that livestock may displace wild ungulates, but may not directly affect the occurrence of snow leopards. Snow leopards could still be threatened by livestock, as overstocking can trigger human-carnivore conflicts and hamper the conservation of large carnivores. Further research is needed to assess the generality and strength of our results. © 2018 Fauna and Flora International.",2020,"10.1017/S0030605317001685","54","english","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042795449&doi=10.1017%2fS0030605317001685&partnerID=40&md5=60081b58deb9ba1024197679808b4e51","Altai mountains and Camera trapping and Human-wildlife conflict and Mongolia and Occupancy and Occurrence interactions and Siberian ibex and Snow leopard and carnivore and livestock and mammal and national park and nature-society relations and pastoralism and trapping and ungulate and wild population and Altai Mountains and Mongolia and Canis familiaris and Capra and Capra ibex and Capra sibirica and Mammalia and Uncia uncia and Ungulata","118-124",NA,41
"42",43,"Fancourt_2019_JoofApEc","JOUR","Do introduced apex predators suppress introduced mesopredators? A multiscale spatiotemporal study of dingoes and feral cats in Australia suggests not","Fancourt, B.A. and Cremasco, P. and Wilson, C. and Gentle, M.N.","Journal of Applied Ecology","The role of apex predators in structuring ecosystems through the suppression of mesopredator activity and abundance is receiving increasing attention, largely due to the potential benefits for biodiversity conservation. In Australia, invasive mesopredators such as feral cats (Felis catus) have been identified as major contributors to Australia's mass mammal extinctions since European arrival. The introduced dingo (Canis familiaris) has been proposed as a novel way to suppress the impacts of feral cats, however, scientific evidence of the dingo's suppressive role is equivocal. We used camera traps to investigate whether a large introduced predator (dingo) suppresses the activity of an established introduced mesopredator (feral cat) across a national park site conserving endangered species, and an agricultural site supporting cattle grazing enterprises. Feral cats and dingoes exhibited marked overlap in both temporal and spatial activity, indicating coexistence. Some temporal separation was evident at the agricultural site, however, this reflected higher diurnal activity by dingoes, not a responsive shift in cat activity. Cat activity times were unrelated to dingo presence and did not differ between areas occupied by dingoes and dingo-free areas. There was no evidence of dingoes excluding cats from patches at either site, nor was there evidence of within-night fine-scale spatiotemporal avoidance of dingoes by cats. Species co-occurrence models revealed dingoes had no negative effect on the probability of cat presence. The probability of detecting a cat on the national park was significantly higher in areas with dingoes than in dingo-free areas, while on agricultural land, cat detectability did not differ between areas with and without dingoes. Cats remained active, abundant and widespread across both sites, with evidence of cats hunting and breeding successfully in areas occupied by dingoes. Synthesis and applications. Our findings indicate that feral cats can coexist with dingoes, without apparent suppression of cat activity, abundance or fitness. Proposals to reintroduce or restore dingoes and other large predators to suppress invasive mesopredators and conserve biodiversity should be carefully evaluated on a site-by-site basis, as their ability to suppress cats and protect species of conservation significance will likely be context dependent. © 2019 State of Queensland. Journal of Applied Ecology © 2019 British Ecological Society",2019,"10.1111/1365-2664.13514","56","english","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074071606&doi=10.1111%2f1365-2664.13514&partnerID=40&md5=8bb96792bd73ae9dcae8236d2217ba69","avoidance and invasive and mesocarnivore and mesopredator release and reintroduction and restoration and suppression and trophic cascade and avoidance reaction and biodiversity and coexistence and diurnal activity and ecosystem structure and environmental restoration and felid and feral organism and fitness and invasive species and mass extinction and predator and reintroduction and restoration ecology and spatiotemporal analysis and species occurrence and trophic cascade and Australia and Bos and Canis familiaris and Canis familiaris dingo and Felis catus and Mammalia","2584-2595",NA,42
"43",44,"Lamichhane_2019_BioandCon","JOUR","Factors associated with co-occurrence of large carnivores in a human-dominated landscape","Lamichhane, B.R. and Leirs, H. and Persoon, G.A. and Subedi, N. and Dhakal, M. and Oli, B.N. and Reynaert, S. and Sluydts, V. and Pokheral, C.P. and Poudyal, L.P. and Malla, S. and de Iongh, H.H.","Biodiversity and Conservation","We investigated the factors facilitating co-occurrence of two large carnivores, tigers (Panthera tigris) and common leopards (Panthera pardus), within a human-dominated landscape. We estimated their density and population size using camera-trap photographs and examined spatial segregation of habitats, temporal activity pattern, and diets in Chitwan National Park, Nepal. A Bayesian spatially-explicit capture-recapture model estimated densities of 3.2–4.6 (3.94 ± 0.37) tigers and 2.6–4.1 (3.31 ± 0.4) leopards per 100 km2 with abundance of 70–102 tigers and 66–105 leopards. Tigers occupied the prime habitats (grasslands and riverine forests) in alluvial floodplains of the Park whereas leopards appeared in Sal forests and marginal areas where livestock are present. Both tigers and leopards showed crepuscular activity patterns with a high overlap but tigers were less active during the day compared to leopards. Leopards’ activity in the day increased in the presence of tigers. Tiger and leopard diet overlapped considerably (90%). Compared to leopards, tigers consumed a higher proportion of the large prey and a smaller proportion of livestock. Our study demonstrates that sympatric large carnivores can coexist in high densities in prey rich areas that contain a mosaics of habitats. To increase the resilience and size of the Chitwan carnivore population, strategies are needed to increase prey biomass and prevent livestock depredation in adjacent forests. Long-term monitoring is also required to obtain a detailed understanding of the interaction between the large carnivores and their effects on local communities living in forest fringes within the landscape. © 2019, The Author(s).",2019,"10.1007/s10531-019-01737-4","28","english","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063234758&doi=10.1007%2fs10531-019-01737-4&partnerID=40&md5=9bf9db084c9542333b66619951e2f77f","Abundance and density and Activity pattern and Chitwan National Park (Nepal) and Common leopard (Panthera pardus) and Diet and Tiger (Panthera tigris) and activity pattern and alluvial plain and carnivore and felid and floodplain and habitat type and human settlement and mark-recapture method and population size and species occurrence and Chitwan National Park and Narayani and Nepal and Panthera pardus and Panthera tigris","1473-1491",NA,43
"44",45,"Roy_2019_MammBiol","JOUR","Distribution and activity pattern of stone marten Martes foina in relation to prey and predators","Roy, S. and Ghoshal, A. and Bijoor, A. and Suryawanshi, K.","Mammalian Biology","Small carnivores are expected to optimize their activity to maximize prey capture and minimize their encounter with predators. We assessed the activity pattern of the stone marten Martes foina in relation to its potential prey, the Himalayan woolly hare Lepus oiostolus and the Royle's pika Ochotona roylei, and its predators, the red fox Vulpes vulpes and the free-ranging dog Canis familiaris. Using three years of camera trapping data from the Indian Trans-Himalaya, we estimated individual and pair-wise spatio-temporal niche width and overlap, respectively, using Levins’ asymmetric index. Stone martens showed limited space use (spatial niche width 0.16) and nocturnal activity (temporal niche width 0.35). They had high temporal (0.75) and low spatial overlap (0.05) with hares; while they had relatively low temporal (0.33) but higher spatial overlap (0.29) with pikas. Red foxes showed relatively high temporal (1.21) and spatial (0.75) overlap with martens, while free-ranging dogs showed low temporal (0.23) and spatial (0.03) overlap with martens. Although restricted space and time use by pikas might help martens track pikas even with relatively low spatio-temporal overlap, martens may be benefiting from higher temporal overlap with hares. While martens seem to be co-existing with foxes, their nocturnal activity might be driven by a trade-off between consuming prey and avoidance of diurnal predators like dogs. © 2018 Deutsche Gesellschaft für Säugetierkunde",2019,"10.1016/j.mambio.2018.09.013","96","english",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054592895&doi=10.1016%2fj.mambio.2018.09.013&partnerID=40&md5=682b30c4e64de692380d6f851f90d899","Activity and Competition and Niche overlap and Predation and Small carnivore and activity pattern and carnivore and coexistence and competition (ecology) and mustelid and niche overlap and nocturnal activity and predation and predator-prey interaction and prey capture and space use and spatial distribution and trade-off and Himalayas and India and Canidae and Canis familiaris and Lepus and Lepus oiostolus and Martes foina and Ochotona roylei and Ochotonidae and Vulpes and Vulpes vulpes","110-117",NA,44
"45",46,"Krohner_2019_MammRese","JOUR","Associations between sympatric apex predators across a diverse landscape","Krohner, J.M. and Ausband, D.E.","Mammal Research","Coexistence between sympatric predators is achieved through a variety of behaviors that reduce competitive interactions. We examined fine-scale co-occurrence between sympatric apex predators across a large and highly variable landscape characterized by anthropogenic presence and related mortality in Idaho, USA. We analyzed data from 201 camera traps across 130,000 km2 to examine spatiotemporal associations between four apex predators: humans (Homo sapiens), wolves (Canis lupus), black bears (Ursus americanus), and cougars (Puma concolor). We hypothesized that the dominant competitors in our system would be associated with reduced detections of subordinate competitors (i.e., humans &gt; wolves &gt; black bears &gt; cougars). Such a hierarchy proved true only when examining spatial associations between humans and wolves. We found a positive spatial association between black bear and cougars, suggesting that cougar kills may provide scavenging opportunities for bears. Although we found a slight positive spatial association between black bears and wolves, we found strong differences in temporal activity patterns between them. Mesic forest yielded higher detections of all predators (except humans) compared to xeric habitat. Cougars in particular appeared to be better predicted by habitat than presence of sympatric predators with more detections in mesic compared to mountain and xeric habitats. Understanding the co-occurrence of apex predators in a system is not a simple measure of their relative dominance cascading from one level to the next. © 2018, Mammal Research Institute, Polish Academy of Sciences, Białowieża, Poland.",2019,"10.1007/s13364-018-00411-4","64","english","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063043932&doi=10.1007%2fs13364-018-00411-4&partnerID=40&md5=9febb9e5329481a2f3d73cc670bf4d3f","Black bear and Carnivore and Competition and Idaho and Puma concolor and Wolf and bear and canid and carnivore and competition (ecology) and felid and habitat type and landscape and mortality and nature-society relations and predator and spatiotemporal analysis and Idaho and United States and Canidae and Canis lupus and Homo sapiens and Puma concolor and Ursus americanus","203-212",NA,45
"46",47,"Santos_2019_PLoONE","JOUR","Prey availability and temporal partitioning modulate felid coexistence in Neotropical forests","Santos, F. and Carbone, C. and Wearn, O.R. and Rowcliffe, J.M. and Espinosa, S. and Moreira, M.G. and Ahumada, J.A. and Gonçalves, A.L.S. and Trevelin, L.C. and Alvarez-Loayza, P. and Spironello, W.R. and Jansen, P.A. and Juen, L. and Peres, C.A.","PLoS ONE","Carnivores have long been used as model organisms to examine mechanisms that allow coexistence among ecologically similar species. Interactions between carnivores, including competition and predation, comprise important processes regulating local community structure and diversity. We use data from an intensive camera-trapping monitoring program across eight Neotropical forest sites to describe the patterns of spatiotemporal organization of a guild of five sympatric cat species: jaguar (Panthera onca), puma (Puma concolor), ocelot (Leopardus pardalis), jaguarundi (Herpailurus yagouaroundi) and margay (Leopardus wiedii). For the three largest cat species, we developed multi-stage occupancy models accounting for habitat characteristics (landscape complexity and prey availability) and models accounting for species interactions (occupancy estimates of potential competitor cat species). Patterns of habitat-use were best explained by prey availability, rather than habitat structure or species interactions, with no evidence of negative associations of jaguar on puma and ocelot occupancy or puma on ocelot occupancy. We further explore temporal activity patterns and overlap of all five felid species. We observed a moderate temporal overlap between jaguar, puma and ocelot, with differences in their activity peaks, whereas higher temporal partitioning was observed between jaguarundi and both ocelot and margay. Lastly, we conducted temporal overlap analysis and calculated species activity levels across study sites to explore if shifts in daily activity within species can be explained by varying levels of local competition pressure. Activity patterns of ocelots, jaguarundis and margays were similarly bimodal across sites, but pumas exhibited irregular activity patterns, most likely as a response to jaguar activity. Activity levels were similar among sites and observed differences were unrelated to competition or intraguild killing risk. Our study reveals apparent spatial and temporal partitioning for most of the species pairs analyzed, with prey abundance being more important than species interactions in governing the local occurrence and spatial distribution of Neotropical forest felids. © 2019 Santos et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2019,"10.1371/journal.pone.0213671","14","english","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062835013&doi=10.1371%2fjournal.pone.0213671&partnerID=40&md5=1da752966e917b28c3cbb5689f0fadf6","animal trapping and Article and cat and forest and habitat structure and habitat use and interspecific competition and intraguild predation and jaguar and juguarundi and landscape and margay and Neotropics and nonhuman and ocelot and organismal interaction and prey searching and Puma and spatiotemporal analysis and species coexistence and animal and biodiversity and body weight and Brazil and Carnivora and Felidae and forest and geography and Panthera and physiology and predation and species difference and tropic climate and Animals and Biodiversity and Body Weight and Brazil and Carnivora and Felidae and Forests and Geography and Panthera and Predatory Behavior and Puma and Species Specificity and Tropical Climate",NA,NA,46
"47",48,"Li_2019_LandEcol","JOUR","Coexistence of two sympatric flagship carnivores in the human-dominated forest landscapes of Northeast Asia","Li, Z. and Wang, T. and Smith, J.L.D. and Feng, R. and Feng, L. and Mou, P. and Ge, J.","Landscape Ecology","Context: Understanding how large carnivore guilds survive in human-dominated landscapes is key to inform strategies for their conservation in the face of global carnivore declines. Amur tigers and leopards are recovering across the China-Russia border. However, knowledge is limited about competitive interactions between two large cats in Northeast Asia. Objectives: To assess the spatial, temporal and combined spatiotemporal behavioral mechanisms potentially allow co-occurrence between tigers and leopards in a human-dominated forest landscape. Methods: Based on a large-scale camera-trapping data set in Northeast China, we used three different approaches for quantifying spatiotemporal associations: one spatial method (two-species occupancy model), one strictly temporal method (activity pattern overlap), and one spatiotemporal method based on multi-response permutation procedures at shared camera trap sites. Results: Spatially, leopards showed no avoidance of the areas highly used by dominant tigers, but their diurnal activity pattern was significantly different from that of tigers. Spatiotemporal overlap analysis showed fine-scale behavioral avoidance when both co-occurred at camera locations, which further facilitates sympatry. Tigers spatially overlapped with humans, but they were less active during the day when human activities were more frequent. In areas with high cattle density, low occurrence of tigers and leopards may reflect the absence of sika deer, an important prey item for both species. Conclusions: This study provides the first empirical evidence that tigers do not limit leopard distributions, at least in our study area in Northeast Asia. Our results highlighted temporal segregation, not large-scaled spatial avoidance, as a key mechanism promoting coexistence of two large carnivores. Understanding these fine- spatial scale (i.e., camera locations) interactions between sympatric carnivores can help devise management strategies for predator guilds in human-dominated landscapes, currently a major global challenge. © 2018, Springer Nature B.V.",2019,"10.1007/s10980-018-0759-0","34","english","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057976294&doi=10.1007%2fs10980-018-0759-0&partnerID=40&md5=15a6a8517f1837f7b84b991d8c77be39","Camera trapping and Cattle grazing and Interspecific competition and Occupancy and Temporal activity patterns and activity pattern and anthropogenic effect and canid and carnivore and cattle and conservation management and conservation status and diurnal activity and felid and forest ecosystem and human activity and landscape and population decline and predator and temporal variation and trapping and China and Northeast Asia and Russian Federation and Bos and Cervus nippon and Panthera pardus and Panthera tigris altaica","291-305",NA,47
"48",49,"Garc..a.R_2019_Biod","JOUR","Habitat use and activity patterns of Leopardus pardalis (Felidae) in the Northern Andes, Antioquia, Colombia","García-R, S. and Botero-Cañola, S. and Sánchez-Giraldo, C. and Solari, S.","Biodiversity","Variation in activity patterns and habitat use are subject to both environmental factors and interactions with other species. We evaluated the ecological factors that affect habitat use by Leopardus pardalis as well as the effects of the presence of potential prey, Dasyprocta punctata. From an arrangement of 70 camera traps, installed between March 2015 and February 2016, we estimate the detection probability and habitat use for both species with a single season model. The selected models suggest that L. pardalis habitat use (70.4%, IC: 63.2–77.6) varies negatively with forest edge density around 1000 m radius, but no effects resulting from D. punctata presence are reported. Our results suggest the absence of spatial exclusion between both species in the study area and a coexistence facilitated by marked temporal segregation. © 2019, © 2019 Biodiversity Conservancy International.",2019,"10.1080/14888386.2019.1590235","20","english","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063905162&doi=10.1080%2f14888386.2019.1590235&partnerID=40&md5=e38dc86b63e8bf2361e1afa4768df2c5","Cuniculus paca and Dasyprocta punctata and detection and occupancy models and Ocelot and record","19-5",NA,48
"49",50,"Parsons_2019_JoofApEc","JOUR","Urbanization focuses carnivore activity in remaining natural habitats, increasing species interactions","Parsons, A.W. and Rota, C.T. and Forrester, T. and Baker-Whatton, M.C. and McShea, W.J. and Schuttler, S.G. and Millspaugh, J.J. and Kays, R.","Journal of Applied Ecology","Interspecific interactions can provoke temporal and spatial avoidance, ultimately affecting population densities and spatial distribution patterns. The ability (or inability) of species to coexist has consequences for diversity and ultimately ecosystem stability. Urbanization is predicted to change species interactions but its relative impact is not well known. Urbanization gradients offer the opportunity to evaluate the effect of humans on species interactions by comparing community dynamics across levels of disturbance. We used camera traps deployed by citizen scientists to survey mammals along urbanization gradients of two cities (Washington, DC and Raleigh, NC, USA). We used a multispecies occupancy model with four competing predator species to test whether forest fragmentation, interspecific interactions, humans or prey had the greatest influence on carnivore distribution. Our study produced 6,413 carnivore detections from 1,260 sites in two cities, sampling both private and public lands. All species used all levels of the urbanization gradient to a similar extent, but co-occurrence of urban-adapted foxes with less urban-adapted bobcats and coyotes was dependent on the availability of green space, especially as urbanization increased. This suggests green space allows less urban-adapted species to occupy suburban areas, but focuses their movements through remaining forest patches, leading to more species interactions. Synthesis and applications. Species interactions, forest fragmentation and human-related covariates were important determinants of carnivore occupancy across a gradient of urbanization with the relative importance of forest fragmentation being highest. We found evidence of both positive and negative interactions across the gradient with some dependent on available green space, suggesting that fragmentation leads to higher levels of spatial interaction. Where green space is adequate, there appears to be sufficient opportunity for coexistence between carnivore species in an urban landscape. © 2019 The Authors. Journal of Applied Ecology © 2019 British Ecological Society",2019,"10.1111/1365-2664.13385","56","english","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064490153&doi=10.1111%2f1365-2664.13385&partnerID=40&md5=00a59215e92dfdbe97843432887fe7fd","camera traps and carnivore and citizen science and distribution and green space and occupancy and species interactions and urbanization and carnivory and coexistence and community dynamics and forest ecosystem and greenspace and habitat fragmentation and nature-society relations and photogrammetry and spatial distribution and trap (equipment) and urbanization and District of Columbia and North Carolina and Raleigh and United States and Washington [District of Columbia] and Canidae and Canis latrans and Lynx rufus and Mammalia","1894-1904",NA,49
"50",51,"Haidir_2018_PLoONE","JOUR","Assessing the spatiotemporal interactions of mesopredators in Sumatra’s tropical rainforest","Haidir, I.A. and Macdonald, D.W. and Linkie, M.","PLoS ONE","Co-occurrence between mesopredators can be achieved by differentiation of prey, temporal activity, and spatial habitat use. The study of mesopredator interactions is a growing area of research in tropical forests and shedding new light on inter-guild competition between threatened vertebrate species that were previously little understood. Here, we investigate sympatry between the Sunda clouded leopard (Neofelis diardi) and Asiatic golden cat (Pardofelis temminckii) living in the Sumatran rainforests of Indonesia. We investigate: i) spatial overlap of predator-prey species using a combination of single-species occupancy modelling and Bayesian two-species modelling, while controlling for the possible influence of several confounding landscape variables; and, ii) temporal overlap between mesopredators and their shared prey through calculating their kernel density estimate associations. From four study areas, representing lowland, hill, sub-montane and montane forest, 28,404 camera trap nights were sampled. Clouded leopard and golden cat were respectively detected in 24.3% and 22.6% of the 292 sampling sites (camera stations) and co-occurred in 29.6% of the sites where they were detected. Golden cat occupancy was highest in the study area where clouded leopard occupancy was lowest and conversely lowest in the study area where clouded leopard occupancy was highest. However, our fine-scale (camera trap site) analyses found no evidence of avoidance between these two felid species. While both mesopredators exhibited highest spatial overlap with the larger-bodied prey species, temporal niche separation was also found. Clouded leopard was more nocturnal and, consequently, had higher temporal overlap with the more nocturnal prey species, such as porcupine and mouse deer, whereas the more diurnal golden cat had higher overlap with the strictly diurnal great argus pheasant. The Bayesian two species occupancy modelling approach applied in our study fills several important knowledge gaps of Sumatra’s lesser known mesopredators and provides a replicable methodology for studying interspecific competition for other small-medium sized carnivore species in the tropics. © 2018 Haidir et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2018,"10.1371/journal.pone.0202876","13","english","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053043468&doi=10.1371%2fjournal.pone.0202876&partnerID=40&md5=05bcb53895c80c69f0fe636b0ed6125f","Animal and Conservation of Natural Resources and Felidae and Indonesia and Models and Article and Bayesian learning and carnivore and cat and controlled study and diurnal species and Indonesia and interspecific competition and landscape ecology and leopard and nocturnal species and nonhuman and plant animal interaction and population density and predator and prey searching and spatiotemporal analysis and species identification and tropical rain forest and vertebrate and animal and animal behavior and Bayes theorem and biological model and environmental protection and Felidae and photoperiodicity and rain forest and recreational park and Animals and Bayes Theorem and Behavior and Biological and Parks and Recreational and Photoperiod and Rainforest and Spatio-Temporal Analysis",NA,NA,50
"51",52,"Schliep_2018_JoofAgBianEnSt","JOUR","Joint temporal point pattern models for proximate species occurrence in a fixed area using camera trap data","Schliep, E.M. and Gelfand, A.E. and Clark, J.S. and Kays, R.","Journal of Agricultural, Biological, and Environmental Statistics","The distinction between an overlap in species daily activity patterns and proximate co-occurrence of species for a location and time due to behavioral attraction or avoidance is critical when addressing the question of species co-occurrence. We use data from a dense grid of camera traps in a forest in central North Carolina to inform about proximate co-occurrence. Camera trigger times are recorded when animals pass in front of the camera’s field of vision. We view the data as a point pattern over time for each species and model the intensities driving these patterns. These species-specific intensities are modeled jointly in linear time to preserve the notion of co-occurrence. We show that a multivariate log-Gaussian Cox process incorporating both circular and linear time provides a preferred choice for modeling occurrence of forest mammals based on daily activity rhythms. Model inference is obtained under a hierarchical Bayesian framework with an efficient Markov chain Monte Carlo sampling algorithm. After model fitting, we account for imperfect detection of individuals by the camera traps by incorporating species-specific detection probabilities that adjust estimates of occurrence and co-occurrence. We obtain rich inference including assessment of the probability of presence of one species in a particular time interval given presence of another species in the same or adjacent interval, enabling probabilities of proximate co-occurrence. Our results describe the ecology and interactions of four common mammals within this suburban forest including their daily rhythms, responses to temperature and rainfall, and effects of the presence of predator species. Supplementary materials accompanying this paper appear online. © 2018, International Biometric Society.",2018,"10.1007/s13253-018-0327-8","23","english","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048015494&doi=10.1007%2fs13253-018-0327-8&partnerID=40&md5=1075efc026e91918abab4e6091aa327e","Circular time and Fourier series representation and Hierarchical model and Linear time and Multivariate log-Gaussian Cox process and Nonhomogeneous Poisson process and algorithm and data set and Fourier transform and Gaussian method and hierarchical system and linearity and Markov chain and Monte Carlo analysis and multivariate analysis and species-area relationship and North Carolina and United States and Animalia and Mammalia","334-357",NA,51
"52",53,"Cove_2018_EcoandEvo","JOUR","Co-occurrence dynamics of endangered Lower Keys marsh rabbits and free-ranging domestic cats: Prey responses to an exotic predator removal program","Cove, M.V. and Gardner, B. and Simons, T.R. and O'Connell, A.F.","Ecology and Evolution","The Lower Keys marsh rabbit (Sylvilagus palustris hefneri) is one of many endangered endemic species of the Florida Keys. The main threats are habitat loss and fragmentation from sea-level rise, development, and habitat succession. Exotic predators such as free-ranging domestic cats (Felis catus) pose an additional threat to these endangered small mammals. Management strategies have focused on habitat restoration and exotic predator control. However, the effectiveness of predator removal and the effects of anthropogenic habitat modifications and restoration have not been evaluated. Between 2013 and 2015, we used camera traps to survey marsh rabbits and free-ranging cats at 84 sites in the National Key Deer Refuge, Big Pine Key, Florida, USA. We used dynamic occupancy models to determine factors associated with marsh rabbit occurrence, colonization, extinction, and the co-occurrence of marsh rabbits and cats during a period of predator removal. Rabbit occurrence was positively related to freshwater habitat and patch size, but was negatively related to the number of individual cats detected at each site. Furthermore, marsh rabbit colonization was negatively associated with relative increases in the number of individual cats at each site between survey years. Cat occurrence was negatively associated with increasing distance from human developments. The probability of cat site extinction was positively related to a 2-year trapping effort, indicating that predator removal reduced the cat population. Dynamic co-occurrence models suggested that cats and marsh rabbits co-occur less frequently than expected under random conditions, whereas co-detections were site and survey-specific. Rabbit site extinction and colonization were not strongly conditional on cat presence, but corresponded with a negative association. Our results suggest that while rabbits can colonize and persist at sites where cats occur, it is the number of individual cats at a site that more strongly influences rabbit occupancy and colonization. These findings indicate that continued predator management would likely benefit endangered small mammals as they recolonize restored habitats. © 2018 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",2018,"10.1002/ece3.3954","8","english","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044430915&doi=10.1002%2fece3.3954&partnerID=40&md5=6a39e35f210df9475ef193209ad11cec","invasive species and occupancy and predator management and predator–prey dynamics","4042-4052",NA,52
"53",54,"Patten_2018_BiolCons","JOUR","Reserves as double-edged sword: Avoidance behavior in an urban-adjacent wildland","Patten, M.A. and Burger, J.C.","Biological Conservation","Human activities affect wildlife in a variety of direct (e.g., hunting, supplemental feeding, and culling) and indirect (e.g., displacement from habitat loss, competition with introduced invasive species, and avoidance of human-dominated landscapes) ways. Even ostensibly benign activities such as hiking or horseback riding in established parks may affect the spatial and temporal activity patterns of wildlife species. Characterization and quantification of effects is essential if parks and other protected areas are to balance the dual needs to nurture an appreciation of wildlands or satisfy a need to encounter nature (sensu the biophilia hypotheses) and to ensure that wild animals can survive and reproduce. We explored how human presence affects wildlife presence in a spatially extensive system of camera traps established in various protected areas in coastal southern California. To characterize and quantify effects we developed a conceptual framework on the basis of joint probabilities of occurrence on a per-camera basis and created a novel statistical approach to assess whether observed probabilities of co-occurrence differed from expected probabilities of co-occurrence. We found that same-day co-occurrence of wildlife and humans was significantly lower than expected at ¿ 90% of the cameras established. This pattern held across sites, across the seven species of large and medium-sized mammals (Bobcat Lynx rufus, Mountain Lion Puma concolor, Gray Fox Urocyon cinereoargenteus, Coyote Canis latrans, Striped Skunk Mephitis mephitis, Northern Raccoon Procyon lotor, and Mule Deer Odocoileis hemionus), and across the five types of human disturbance examined (hikers, bicyclists, domestic dogs, vehicles, and equestrians). Our results demonstrate that human presence acutely affects same-day wildlife detections in protected areas, supporting the hypothesis that avoidance behaviour is a type of “mortality-free predation.” Adaptive and flexible management plans need to be established, evaluated, and updated regularly to facilitate the human nature experience while lessening as much as possible long-term degradation of wildlife habitat. Wildlife in urban-adjacent preserves constitute a major part of the nature experience by humans and require effective management of pressures for use and recreation along aside those for wildlife habitat needs. © 2018 The Authors",2018,"10.1016/j.biocon.2017.12.033","218","english",NA,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039984989&doi=10.1016%2fj.biocon.2017.12.033&partnerID=40&md5=e778a31aa8c74731addfaaf5d1de603b","Avoidance behavior and Camera trap and Human disturbance and Joint probability and Monte Carlo test and activity pattern and anthropogenic effect and avoidance reaction and coexistence and conceptual framework and conservation management and disturbance and environmental degradation and habitat fragmentation and habitat management and human activity and mammal and Monte Carlo analysis and probability and protected area and reproduction and spatiotemporal analysis and species occurrence and survival and trap (equipment) and wild population and wildlife management and California and United States and Animalia and Canis familiaris and Canis latrans and Lynx rufus and Mammalia and Mephitis and Mephitis mephitis and Odocoileus hemionus and Procyon lotor and Puma concolor and Urocyon and Urocyon cinereoargenteus","233-239",NA,53
